,alias,name,url,categories,latitude,longitude,address,zip_code,price,rating,review_count
1250,restaurant-astier-paris,Restaurant Astier,https://www.yelp.com/biz/restaurant-astier-paris,french,48.866250560444,2.3720191001027,44 rue Jean Pierre Timbaud,75011,3,3.5,118.0
1251,nanashi-paris-4,Nanashi,https://www.yelp.com/biz/nanashi-paris-4,"japanese, asianfusion",48.8635429385513,2.36319002943037,57 rue Charlot,75003,2,3.5,118.0
1252,le-black-dog-paris,Le Black Dog,https://www.yelp.com/biz/le-black-dog-paris,"bars, argentine",48.85943,2.34918,26 rue des Lombards,75004,2,4.0,115.0
1253,au-passage-paris-2,Au Passage,https://www.yelp.com/biz/au-passage-paris-2,"modern_european, tapasmallplates",48.86139,2.36819,1 bis passage Saint Sébastien,75011,3,4.0,114.0
1255,mme-shawn-paris,Mme Shawn,https://www.yelp.com/biz/mme-shawn-paris,thai,48.871179,2.362987,34 rue Yves Toudic,75010,3,3.0,112.0
1257,glou-paris,Glou,https://www.yelp.com/biz/glou-paris,"french, bistros",48.86028,2.36135,101 Rue Vieille Du Temple,75003,3,3.5,109.0
1258,le-pachyderme-paris,Le Pachyderme,https://www.yelp.com/biz/le-pachyderme-paris,"bars, french",48.86817,2.36204,2 bis boulevard Saint-Martin,75010,2,3.0,109.0
1259,le-petit-cambodge-paris,Le Petit Cambodge,https://www.yelp.com/biz/le-petit-cambodge-paris,"cambodian, panasian",48.871673,2.368088,20 rue Alibert,75010,2,3.5,108.0
1260,le-verre-volé-paris-3,Le Verre Volé,https://www.yelp.com/biz/le-verre-vol%C3%A9-paris-3,"wine_bars, bistros",48.8728442977255,2.36354442418734,67 rue Lancry,75010,2,4.0,108.0
1262,chez-jenny-paris-4,Chez Jenny,https://www.yelp.com/biz/chez-jenny-paris-4,"brasseries, french, seafood",48.8659656864441,2.36472784523016,39 boulevard Temple,75003,3,3.5,104.0
1263,le-chant-des-voyelles-paris-2,Le Chant des Voyelles,https://www.yelp.com/biz/le-chant-des-voyelles-paris-2,french,48.85898,2.35025,2 Rue Lombards,75004,2,3.0,103.0
1264,chez-imogène-paris-2,Chez Imogène,https://www.yelp.com/biz/chez-imog%C3%A8ne-paris-2,creperies,48.86545,2.36856,25 rue Jean Pierre Timbaud,75011,2,4.5,103.0
1265,maria-luisa-paris-4,Maria Luisa,https://www.yelp.com/biz/maria-luisa-paris-4,"italian, pizza",48.87173,2.3679,2 rue Marie et Louise,75010,2,4.0,103.0
1266,raviolis-chinois-nord-est-paris,Raviolis Chinois Nord-Est,https://www.yelp.com/biz/raviolis-chinois-nord-est-paris,"dimsum, panasian",48.87291,2.37535,11 rue Civiale,75010,1,4.0,102.0
1267,chez-omar-paris,Chez Omar,https://www.yelp.com/biz/chez-omar-paris,"moroccan, mediterranean",48.8634,2.36154,47 rue de Bretagne,75003,3,3.5,99.0
